time0,amp0,time1,amp1,time2,amp2
257.0362091064453,400,405.93886375427246,416,230.03339767456055,400
832.0364952087402,412,964.9319648742676,414,838.029146194458,405
1376.0426044464111,412,1572.9351043701172,412,1445.995569229126,410
1952.030897140503,411,2180.9067726135254,411,2061.0270500183105,411
2525.0487327575684,411,2756.9360733032227,411,2629.960775375366,411
3072.039842605591,411,3364.936351776123,412,3205.9693336486816,412
3616.0333156585693,411,3971.989631652832,411,3749.049663543701,411
4191.038131713867,411,4515.936613082886,411,4357.039451599121,411
4799.030303955078,411,5091.937303543091,411,4933.039903640747,411
5407.034635543823,411,5699.934482574463,412,5535.092830657959,411
6015.029430389404,411,6275.330543518066,412,6053.104639053345,411
6591.034412384033,411,6883.934259414673,412,6661.049842834473,411
7167.067050933838,411,7491.941213607788,412,7260.0343227386475,411
7711.032867431641,411,8104.938745498657,412,7813.035249710083,411
8286.036968231201,411,8674.941539764404,412,8388.035535812378,412
8894.032955169678,412,9251.314163208008,412,8996.029615402222,412
9470.037460327148,412,9828.94515991211,412,9572.000741958618,412
10078.031063079834,412,10402.942180633545,412,10180.073261260986,412
10686.038255691528,412,10978.938579559326,412,10759.024858474731,412
11298.07424545288,412,11586.945056915283,412,11332.038402557373,411
11869.994640350342,412,12130.942106246948,412,11940.041542053223,411
12477.048635482788,412,12705.942630767822,412,12515.039443969727,412
13085.049152374268,412,13281.941413879395,412,13059.03673171997,412
13697.035789489746,412,13857.93948173523,412,13635.000944137573,412
14269.015312194824,412,14433.943033218384,412,14208.049058914185,412
14877.045631408691,412,15009.886026382446,412,14755.04207611084,412
15453.036785125732,412,15585.941553115845,412,15299.01146888733,412
15997.037649154663,412,16192.940950393677,412,15874.036073684692,411
16541.04995727539,412,16800.91643333435,412,16482.054710388184,411
17116.049766540527,412,17376.945972442627,412,17090.012550354004,411
17724.037647247314,412,17984.94005203247,412,17698.007583618164,412
18332.04412460327,411,18592.946767807007,412,18274.0421295166,412
18939.981937408447,411,19136.921405792236,412,18850.03614425659,411
19516.03937149048,411,19712.94355392456,412,19394.04034614563,411
20092.067003250122,412,20319.94938850403,412,19969.042539596558,411
20636.048078536987,412,20895.94292640686,412,20577.053546905518,411
21243.040084838867,412,21503.947734832764,412,21153.045654296875,411
21819.039821624756,412,22111.944437026978,412,21760.97869873047,412
22420.013189315796,412,22725.94451904297,412,22369.0767288208,412
22939.042329788208,412,23295.9566116333,412,22981.040477752686,412
23547.04475402832,412,23871.94585800171,412,23553.009271621704,412
24145.00403404236,412,24414.945363998413,412,24160.06302833557,412
24699.039459228516,412,25022.951364517212,412,24768.04232597351,412
25275.043964385986,412,25598.941802978516,411,25380.045175552368,412
25882.044315338135,412,26199.95379447937,411,25952.01015472412,412
26458.04524421692,412,26718.947410583496,412,26560.04285812378,412
27067.042112350464,412,27326.943159103394,412,27136.046648025513,412
27674.04341697693,412,27924.973249435425,412,27680.042505264282,412
28249.04465675354,412,28478.928804397583,412,28224.0469455719,412
28825.042247772217,412,29053.9493560791,412,28799.064874649048,412
29401.04627609253,412,29661.92936897278,412,29406.985759735107,412
29977.043390274048,412,30237.945795059204,412,30015.047311782837,412
30585.047960281372,412,30845.948934555054,412,30623.044729232788,412
31193.049907684326,412,31453.946113586426,412,31199.015378952026,412
31769.063472747803,412,32073.96936416626,412,31775.014877319336,412
32376.046895980835,412,32637.957334518433,412,32319.082736968994,412
32984.06481742859,412,33246.00625038147,411,32926.04351043701,412
33528.07807922363,412,33852.951765060425,411,33502.04920768738,412
34104.0472984314,412,34428.94887924194,411,34103.04880142212,412
34712.05258369446,412,35004.91738319397,412,34622.04837799072,412
35288.08307647705,412,35580.95741271973,412,35230.055809020996,412
35896.04949951172,412,36156.95261955261,412,35828.06444168091,412
36504.05478477478,412,36764.95718955994,412,36381.04224205017,412
37116.050481796265,412,37371.98209762573,412,36958.04810523987,412
37687.039375305176,412,37947.95536994934,412,37565.04774093628,412
38263.05103302002,412,38555.951833724976,412,38141.058921813965,412
38841.047048568726,412,39163.93446922302,412,38750.0114440918,412
39415.011405944824,412,39707.955837249756,412,39357.04970359802,412
39991.00136756897,412,40282.99951553345,412,39932.02066421509,412
40599.048376083374,412,40891.9563293457,412,40508.01873207092,412
41142.04931259155,412,41466.9554233551,412,41084.009408950806,412
41718.04904937744,412,42074.95594024658,412,41660.02655029297,412
42294.058322906494,412,42682.96790122986,412,42268.01133155823,411
42870.05424499512,412,43295.95851898193,412,42876.020669937134,411
