,BM Name,BM1 (mA),BM2 (mA),BM3 (mA),T1 (ms),T2 (ms),T3 (ms),Med BM (mA),Med T (ms),Power (mW),Energy* (mW/h)
1,nop,431.9,432.0,432.0,129`147,129`147,129`147,432.0,129`147,2`747.520,98.565
2,nop\_nop,430.2,430.4,430.3,145`291,145`291,145`291,430.3,145`291,2`736.708,110.450
3,nop\_nop\_nop,431.1,431.1,431.1,161`435,161`434,161`434,431.1,161`434,2`741.796,122.950
4,addl\_0,431.4,431.8,431.5,145`292,145`291,145`291,431.5,145`291,2`744.340,110.758
5,addl\_32,435.3,435.2,435.5,145`291,145`291,145`291,435.3,145`291,2`768.508,111.733
6,subl\_0,431.4,432.1,431.4,145`291,145`291,145`292,431.6,145`291,2`744.976,110.783
7,subl\_32,435.0,435.2,435.3,145`291,145`291,145`291,435.2,145`291,2`767.872,111.707
8,shr\_0,432.8,432.8,433.5,177`578,177`579,177`579,432.9,177`579,2`753.244,135.811
9,shr\_32,432.7,432.6,432.9,177`578,177`578,177`578,432.7,177`578,2`751.972,135.747
10,shl\_0,433.1,432.9,432.9,177`579,177`579,177`579,432.9,177`579,2`753.244,135.811
11,shl\_32,432.7,432.9,433.2,177`578,177`578,177`578,432.9,177`578,2`753.244,135.810
12,imull\_0,427.9,427.3,427.4,226`008,226`008,226`008,427.4,226`008,2`718.264,170.653
13,imull\_32,429.7,429.5,429.9,226`008,226`008,226`008,429.7,226`008,2`732.892,171.571
14,inc\_8,436.4,435.6,435.7,145`292,145`291,145`291,435.9,145`291,2`772.324,111.887
15,dec\_8,433.9,434.4,434.6,161`434,161`434,161`434,434.4,161`434,2`762.784,123.891
16,and\_0,434.7,435.2,435.1,145`292,145`291,145`291,435.0,145`291,2`766.600,111.656
17,and\_32,428.6,429.7,430.6,145`291,145`291,145`292,429.7,145`291,2`732.892,110.296
18,or\_0,436.0,435.3,434.9,145`291,145`291,145`291,435.35,145`291,2`768.826,111.746
19,or\_32,429.8,431.2,431.4,145`291,145`291,145`291,431.1,145`291,2`741.796,110.655
20,xor\_0,432.5,431.5,431.5,145`291,145`292,145`292,431.6,145`292,2`744.976,110.784
21,xor\_32,434.2,435.0,435.0,145`291,145`292,145`291,434.7,145`291,2`764.692,111.579
