time0,amp0,time1,amp1,time2,amp2
0,434,0,433,0,401
1000,433,1000,433,0,433
1000,433,1000,433,1000,433
2000,433,2000,433,2000,433
2000,433,2000,433,2000,434
3000,433,3000,433,3000,433
3000,433,3000,434,3000,433
4000,433,4000,434,4000,433
5000,433,5000,434,4000,433
5000,433,5000,434,5000,433
6000,433,6000,434,6000,433
6000,433,6000,434,6000,433
7000,433,7000,433,7000,433
8000,433,8000,433,7000,433
8000,433,8000,433,8000,433
9000,434,9000,433,9000,433
9000,433,9000,433,9000,433
10000,433,10000,433,10000,433
11000,433,10000,433,10000,433
11000,433,11000,433,11000,433
12000,434,12000,433,11000,433
12000,433,12000,433,12000,433
13000,433,13000,433,13000,433
13000,433,13000,433,13000,433
14000,433,14000,434,14000,433
14000,433,15000,434,14000,433
15000,433,15000,434,15000,434
16000,433,16000,434,16000,434
16000,433,16000,434,16000,434
17000,433,17000,434,17000,434
17000,433,17000,434,17000,434
18000,433,18000,434,18000,434
19000,433,18000,434,19000,434
19000,433,19000,434,19000,434
20000,433,20000,434,20000,433
20000,433,20000,434,20000,433
21000,433,21000,434,21000,433
22000,433,21000,434,21000,434
22000,433,22000,434,22000,434
23000,433,23000,434,23000,433
23000,433,23000,434,23000,433
24000,433,24000,434,24000,434
24000,433,24000,434,24000,434
25000,433,25000,434,25000,433
26000,433,26000,433,25000,433
26000,433,26000,433,26000,434
27000,433,27000,434,27000,434
27000,433,27000,433,27000,434
28000,433,28000,433,28000,434
29000,434,28000,434,28000,434
29000,434,29000,434,29000,434
30000,433,30000,433,30000,434
30000,433,30000,433,30000,434
31000,433,31000,433,31000,434
32000,433,31000,433,31000,434
32000,433,32000,433,32000,434
33000,433,33000,434,32000,433
33000,433,33000,434,33000,433
34000,433,34000,433,34000,433
34000,433,34000,433,34000,433
35000,433,35000,433,35000,433
36000,433,35000,433,35000,433
36000,433,36000,434,36000,433
37000,433,37000,433,36000,433
37000,434,37000,433,37000,433
38000,433,38000,433,38000,434
38000,433,38000,434,38000,434
39000,433,39000,434,39000,434
40000,433,40000,433,39000,434
40000,433,40000,433,40000,433
41000,433,41000,433,40000,433
41000,433,41000,433,41000,433
42000,433,42000,433,42000,434
42000,433,42000,433,42000,434
43000,433,43000,433,43000,433
44000,434,44000,433,43000,433
44000,434,44000,433,44000,433
45000,433,45000,433,45000,434
45000,433,45000,433,45000,434
46000,433,46000,434,46000,434
46000,433,47000,434,46000,434
47000,433,47000,434,47000,433
48000,433,48000,434,47000,433
48000,433,48000,434,48000,433
49000,433,49000,434,49000,433
49000,434,49000,434,49000,434
50000,434,50000,434,50000,434
51000,434,51000,434,50000,434
51000,433,51000,434,51000,434
52000,433,52000,434,52000,434
52000,433,52000,434,52000,434
53000,434,53000,434,53000,434
54000,433,53000,434,53000,433
54000,433,54000,434,54000,433
55000,433,55000,434,55000,433
55000,434,55000,433,55000,433
56000,434,56000,433,56000,433
56000,433,56000,433,56000,434
57000,433,57000,434,57000,434
58000,433,58000,434,57000,434
58000,433,58000,434,58000,433
59000,433,59000,434,58000,433
59000,433,59000,433,59000,434
60000,433,60000,433,60000,434
61000,433,60000,433,60000,434
61000,433,61000,434,61000,434
62000,433,62000,434,61000,434
62000,433,62000,434,62000,434
63000,433,63000,434,63000,434
63000,433,63000,434,63000,434
64000,433,64000,434,64000,434
65000,433,65000,434,64000,434
65000,433,65000,434,65000,434
66000,433,66000,434,65000,434
66000,433,66000,434,66000,434
67000,433,67000,434,67000,434
67000,434,68000,434,67000,434
68000,434,68000,433,68000,434
69000,434,69000,433,68000,434
69000,433,69000,433,69000,434
70000,433,70000,434,70000,434
70000,433,70000,434,70000,434
71000,433,71000,433,71000,434
72000,433,72000,433,71000,434
72000,433,72000,433,72000,433
73000,434,73000,433,72000,433
73000,433,73000,433,73000,433
74000,433,74000,433,74000,434
74000,433,74000,433,74000,434
75000,433,75000,434,75000,434
76000,433,76000,434,75000,434
76000,433,76000,434,76000,434
77000,433,77000,434,77000,434
77000,433,77000,434,77000,434
78000,433,78000,434,78000,434
78000,433,79000,434,78000,434
79000,433,79000,434,79000,434
80000,433,80000,434,79000,434
80000,434,80000,434,80000,434
81000,434,81000,434,81000,434
81000,433,81000,434,81000,434
82000,433,82000,434,82000,433
83000,433,83000,434,82000,433
83000,434,83000,434,83000,433
84000,434,84000,434,84000,434
84000,434,84000,434,84000,434
85000,433,85000,434,85000,434
85000,433,85000,434,85000,434
86000,434,86000,433,86000,434
87000,433,87000,433,86000,433
87000,433,87000,434,87000,433
88000,433,88000,434,88000,434
88000,433,88000,434,88000,434
89000,433,89000,434,89000,434
90000,433,90000,434,89000,434
90000,433,90000,434,90000,434
91000,433,91000,433,91000,434
91000,434,91000,433,91000,434
92000,434,92000,433,92000,434
93000,434,92000,433,92000,434
93000,434,93000,433,93000,434
94000,434,94000,433,93000,434
94000,433,94000,434,94000,434
95000,433,95000,434,95000,434
95000,433,95000,434,95000,434
96000,433,96000,434,96000,434
97000,433,97000,434,96000,434
97000,433,97000,434,97000,433
98000,433,98000,434,97000,433
98000,433,98000,434,98000,434
99000,433,99000,434,99000,434
99000,433,99000,434,99000,434
100000,433,100000,434,100000,433
101000,433,101000,434,100000,433
101000,433,101000,434,101000,434
102000,433,102000,434,102000,434
102000,433,102000,434,102000,434
103000,433,103000,434,103000,434
103000,433,104000,434,103000,434
104000,433,104000,434,104000,434
105000,433,105000,434,104000,434
105000,433,105000,434,105000,433
106000,433,106000,434,106000,433
106000,433,106000,434,106000,434
107000,433,107000,434,107000,434
108000,433,108000,434,107000,434
108000,433,108000,434,108000,434
109000,433,109000,434,109000,434
109000,433,109000,434,109000,434
110000,433,110000,434,110000,434
110000,433,110000,434,110000,434
111000,433,111000,434,111000,434
112000,433,112000,434,111000,434
112000,433,112000,434,112000,434
113000,433,113000,434,113000,434
113000,433,113000,434,113000,434
114000,433,114000,434,114000,434
115000,433,114000,434,114000,434
115000,434,115000,434,115000,434
116000,433,116000,434,116000,434
116000,433,116000,434,116000,434
117000,433,117000,434,117000,434
117000,433,117000,434,117000,433
118000,433,118000,434,118000,433
119000,433,119000,434,118000,433
119000,433,119000,433,119000,434
120000,433,120000,433,120000,434
120000,433,120000,434,120000,434
121000,434,121000,434,121000,434
122000,434,121000,434,121000,433
122000,433,122000,434,122000,433
123000,433,123000,434,123000,434
